Término,Hack,Longitud,Popularidad
stages,stag.es,6,42
involves,involv.es,8,41
properties,properti.es,10,41
communities,communiti.es,11,41
continues,continu.es,9,40
believes,believ.es,8,40
candidates,candidat.es,10,40
premises,premis.es,8,39
duties,duti.es,6,39
losses,loss.es,6,38
agencies,agenci.es,8,37
ages,ag.es,4,37
wages,wag.es,5,37
businesses,business.es,10,37
shoes,sho.es,5,37
theories,theori.es,8,37
moves,mov.es,5,36
images,imag.es,6,36
centuries,centuri.es,9,36
experiences,experienc.es,11,35
copies,copi.es,6,35
sees,se.es,4,35
churches,church.es,8,35
languages,languag.es,9,34
metres,metr.es,6,34
categories,categori.es,10,34
branches,branch.es,8,33
ladies,ladi.es,6,33
stones,ston.es,6,33
supplies,suppli.es,8,32
approaches,approach.es,10,32
votes,vot.es,5,31
degrees,degre.es,7,31
vehicles,vehicl.es,8,31
wishes,wish.es,6,30
matches,match.es,7,30
chances,chanc.es,7,30
fees,fe.es,4,29
advantages,advantag.es,10,29
articles,articl.es,8,29
responsibilities,responsibiliti.es,16,29
files,fil.es,5,29
likes,lik.es,5,29
sentences,sentenc.es,9,29
tables,tabl.es,6,29
waves,wav.es,5,28
applies,appli.es,7,28
samples,sampl.es,7,28
boxes,box.es,5,28
judges,judg.es,6,28
roles,rol.es,5,28
taxes,tax.es,5,28
villages,villag.es,8,28
pressures,pressur.es,9,27
modules,modul.es,7,27
universities,universiti.es,12,27
dates,dat.es,5,27
holes,hol.es,5,27
relatives,relativ.es,9,27
strategies,strategi.es,10,27
committees,committe.es,10,27
knees,kne.es,5,26
describes,describ.es,9,26
injuries,injuri.es,8,26
writes,writ.es,6,26
besides,besid.es,7,26
memories,memori.es,8,26
responses,respons.es,9,26
decades,decad.es,7,25
possibilities,possibiliti.es,13,25
qualities,qualiti.es,9,25
babies,babi.es,6,25
estimates,estimat.es,9,25
glasses,glass.es,7,25
nurses,nurs.es,6,25
produces,produc.es,8,25
colleges,colleg.es,8,25
stores,stor.es,6,24
offences,offenc.es,8,24
voices,voic.es,6,24
boundaries,boundari.es,10,24
inches,inch.es,6,24
conservatives,conservativ.es,13,23
damages,damag.es,7,23
argues,argu.es,6,23
indicates,indicat.es,9,23
bones,bon.es,5,23
guidelines,guidelin.es,10,23
plates,plat.es,6,23
variables,variabl.es,9,22
libraries,librari.es,9,22
males,mal.es,5,22
devices,devic.es,7,22
gates,gat.es,5,22
reserves,reserv.es,8,22
magistrates,magistrat.es,11,21
genes,gen.es,5,21
davies,davi.es,6,21
titles,titl.es,6,21
creatures,creatur.es,9,21
enables,enabl.es,7,21
routes,rout.es,6,21
scenes,scen.es,6,21
sciences,scienc.es,8,21
tories,tori.es,6,20
styles,styl.es,6,20
females,femal.es,7,20
expenses,expens.es,8,20
estates,estat.es,7,20
implies,impli.es,7,20
messages,messag.es,8,20
references,referenc.es,10,20
muscles,muscl.es,7,20
priorities,prioriti.es,10,20
tries,tri.es,5,20
wives,wiv.es,5,19
economies,economi.es,9,19
exercises,exercis.es,9,19
refugees,refuge.es,8,19
engines,engin.es,7,19
initiatives,initiativ.es,11,19
passes,pass.es,6,19
quantities,quantiti.es,10,19
securities,securiti.es,10,19
shapes,shap.es,6,19
tonnes,tonn.es,6,19
crimes,crim.es,6,18
entries,entri.es,7,18
arises,aris.es,6,18
rises,ris.es,5,18
scores,scor.es,6,18
vegetables,vegetabl.es,10,18
diseases,diseas.es,8,18
bottles,bottl.es,7,18
serves,serv.es,6,18
carries,carri.es,7,18
choices,choic.es,7,18
races,rac.es,5,17
alternatives,alternativ.es,12,17
factories,factori.es,9,17
particles,particl.es,9,17
edges,edg.es,5,17
enquiries,enquiri.es,9,17
enterprises,enterpris.es,11,17
instances,instanc.es,9,17
magazines,magazin.es,9,17
promises,promis.es,8,17
senses,sens.es,6,17
sizes,siz.es,5,17
strikes,strik.es,7,17
witnesses,witness.es,9,17
circles,circl.es,7,17
acres,acr.es,5,16
mistakes,mistak.es,8,16
potatoes,potato.es,8,16
volumes,volum.es,7,16
allies,alli.es,6,16
performances,performanc.es,12,16
counties,counti.es,8,16
disputes,disput.es,8,16
influences,influenc.es,10,16
themes,them.es,6,16
couples,coupl.es,7,16
cultures,cultur.es,8,16
delegates,delegat.es,9,16
ties,ti.es,4,16
scales,scal.es,6,15
technologies,technologi.es,12,15
enemies,enemi.es,7,15
lectures,lectur.es,8,15
spaces,spac.es,6,15
incomes,incom.es,7,15
molecules,molecul.es,9,15
operates,operat.es,8,15
packages,packag.es,8,15
peoples,peopl.es,7,15
buses,bus.es,5,15
reaches,reach.es,7,15
relates,relat.es,7,15
roses,ros.es,5,15
varieties,varieti.es,9,15
advances,advanc.es,8,14
mines,min.es,5,14
sequences,sequenc.es,9,14
territories,territori.es,11,14
creates,creat.es,7,14
dishes,dish.es,6,14
futures,futur.es,7,14
sixties,sixti.es,7,14
temperatures,temperatur.es,12,14
drives,driv.es,6,14
raises,rais.es,6,14
surfaces,surfac.es,8,14
tapes,tap.es,5,14
abilities,abiliti.es,9,13
addresses,address.es,9,13
executives,executiv.es,10,13
worries,worri.es,7,13
allowances,allowanc.es,10,13
tales,tal.es,5,13
trades,trad.es,6,13
analyses,analys.es,8,13
angles,angl.es,6,13
flames,flam.es,6,13
varies,vari.es,6,13
fires,fir.es,5,13
loves,lov.es,5,13
masses,mass.es,6,13
phrases,phras.es,7,13
poles,pol.es,5,13
receives,receiv.es,8,13
substances,substanc.es,10,13
challenges,challeng.es,10,13
cigarettes,cigarett.es,10,13
clauses,claus.es,7,13
codes,cod.es,5,13
deputies,deputi.es,8,12
shelves,shelv.es,7,12
appearances,appearanc.es,11,12
flies,fli.es,5,12
lakes,lak.es,5,12
nerves,nerv.es,6,12
revenues,revenu.es,8,12
debates,debat.es,7,12
blues,blu.es,5,12
galleries,galleri.es,9,12
modes,mod.es,5,12
pipes,pip.es,5,12
reduces,reduc.es,7,12
tiles,til.es,5,12
trustees,truste.es,8,12
zones,zon.es,5,12
conferences,conferenc.es,11,12
penalties,penalti.es,9,11
prizes,priz.es,6,11
wines,win.es,5,11
jokes,jok.es,5,11
needles,needl.es,7,11
planes,plan.es,6,11
dies,di.es,4,11
failures,failur.es,8,11
guides,guid.es,6,11
heroes,hero.es,6,11
passages,passag.es,8,11
ranges,rang.es,6,11
attributes,attribut.es,10,11
subsidies,subsidi.es,9,11
defences,defenc.es,8,11
disciplines,disciplin.es,11,11
exchanges,exchang.es,9,11
graduates,graduat.es,9,11
illustrates,illustrat.es,11,11
provinces,provinc.es,9,11
troubles,troubl.es,8,11
preferences,preferenc.es,11,10
thieves,thiev.es,7,10
traces,trac.es,6,10
weaknesses,weakness.es,10,10
fortunes,fortun.es,8,10
lanes,lan.es,5,10
motives,motiv.es,7,10
constitutes,constitut.es,11,10
gloves,glov.es,6,10
guarantees,guarante.es,10,10
incentives,incentiv.es,10,10
armies,armi.es,6,10
laboratories,laboratori.es,12,10
assumes,assum.es,7,10
audiences,audienc.es,9,10
smiles,smil.es,6,10
speeches,speech.es,8,10
stitches,stitch.es,8,10
tastes,tast.es,6,10
beaches,beach.es,7,10
databases,databas.es,9,10
emerges,emerg.es,7,10
fifties,fifti.es,7,10
frames,fram.es,6,10
bridges,bridg.es,7,10
missiles,missil.es,8,10
movies,movi.es,6,10
phases,phas.es,6,10
cakes,cak.es,5,10
remedies,remedi.es,8,10
seventies,seventi.es,9,10
slopes,slop.es,6,10
toes,to.es,4,10
tubes,tub.es,5,10
casualties,casualti.es,10,10
colonies,coloni.es,8,10
struggles,struggl.es,9,9
inquiries,inquiri.es,9,9
replies,repli.es,7,9
salaries,salari.es,8,9
agrees,agre.es,6,9
airlines,airlin.es,8,9
decides,decid.es,7,9
deserves,deserv.es,8,9
stakes,stak.es,6,9
successes,success.es,9,9
demonstrates,demonstrat.es,12,9
apples,appl.es,6,9
disadvantages,disadvantag.es,13,9
energies,energi.es,8,9
gases,gas.es,5,9
arrives,arriv.es,7,9
liabilities,liabiliti.es,11,9
minorities,minoriti.es,10,9
associates,associat.es,10,9
purchases,purchas.es,9,9
sandwiches,sandwich.es,10,9
shades,shad.es,6,9
singles,singl.es,7,9
squares,squar.es,7,9
tones,ton.es,5,9
battles,battl.es,7,9
contemporaries,contemporari.es,14,9
cottages,cottag.es,8,9
cries,cri.es,5,9
curves,curv.es,6,9
desires,desir.es,7,9
detectives,detectiv.es,10,9
distances,distanc.es,9,9
ensures,ensur.es,7,9
indies,indi.es,6,9
mates,mat.es,5,9
noises,nois.es,6,9
outcomes,outcom.es,8,9
patches,patch.es,7,9
privileges,privileg.es,10,9
similarities,similariti.es,12,9
capabilities,capabiliti.es,12,9
stresses,stress.es,8,9
whites,whit.es,6,9
certificates,certificat.es,12,9
charities,chariti.es,9,9
cheques,chequ.es,7,9
clues,clu.es,5,9
coaches,coach.es,7,9
comprises,compris.es,9,9
eighties,eighti.es,8,8
tissues,tissu.es,7,8
constituencies,constituenci.es,14,8
dresses,dress.es,7,8
loses,los.es,5,8
releases,releas.es,8,8
slaves,slav.es,6,8
thirties,thirti.es,8,8
tyres,tyr.es,5,8
antibodies,antibodi.es,10,8
episodes,episod.es,8,8
frequencies,frequenci.es,11,8
proves,prov.es,6,8
secretaries,secretari.es,11,8
ventures,ventur.es,8,8
cycles,cycl.es,6,8
denies,deni.es,6,8
encourages,encourag.es,10,8
fibres,fibr.es,6,8
fisheries,fisheri.es,9,8
bosses,boss.es,6,8
grades,grad.es,6,8
headlines,headlin.es,9,8
hectares,hectar.es,8,8
histories,histori.es,9,8
isles,isl.es,5,8
licences,licenc.es,8,8
marriages,marriag.es,9,8
obstacles,obstacl.es,9,8
bushes,bush.es,6,8
realities,realiti.es,9,8
calories,calori.es,8,8
candles,candl.es,7,8
slides,slid.es,6,8
tomatoes,tomato.es,8,8
whales,whal.es,6,8
concludes,conclud.es,9,8
crosses,cross.es,7,7
proposes,propos.es,8,7
touches,touch.es,7,7
knives,kniv.es,6,7
lorries,lorri.es,7,7
advocates,advocat.es,9,7
es,.es,2,7
finances,financ.es,8,7
justices,justic.es,8,7
princes,princ.es,7,7
stretches,stretch.es,9,7
disturbances,disturbanc.es,12,7
archives,archiv.es,8,7
hostages,hostag.es,8,7
outlines,outlin.es,8,7
recipes,recip.es,7,7
tendencies,tendenci.es,10,7
wires,wir.es,5,7
balances,balanc.es,8,7
batteries,batteri.es,9,7
bees,be.es,4,7
currencies,currenci.es,10,7
dances,danc.es,6,7
determines,determin.es,10,7
diabetes,diabet.es,8,7
disabilities,disabiliti.es,12,7
discoveries,discoveri.es,11,7
doses,dos.es,5,7
examines,examin.es,8,7
fines,fin.es,5,7
handles,handl.es,7,7
hedges,hedg.es,6,7
inequalities,inequaliti.es,12,7
landscapes,landscap.es,10,7
notices,notic.es,7,7
personalities,personaliti.es,13,7
perspectives,perspectiv.es,12,7
queries,queri.es,7,7
quotes,quot.es,6,7
refuses,refus.es,7,7
saves,sav.es,5,7
sexes,sex.es,5,7
sleeves,sleev.es,7,7
strokes,strok.es,7,7
switches,switch.es,8,7
cares,car.es,5,7
trainees,traine.es,8,7
treaties,treati.es,8,7
twenties,twenti.es,8,7
virtues,virtu.es,7,7
wolves,wolv.es,6,7
catalogues,catalogu.es,10,7
catches,catch.es,7,7
clashes,clash.es,7,7
wastes,wast.es,6,6
watches,watch.es,7,6
derives,deriv.es,7,6
parishes,parish.es,8,6
sculptures,sculptur.es,10,6
fences,fenc.es,6,6
owes,ow.es,4,6
regimes,regim.es,7,6
searches,search.es,8,6
statutes,statut.es,8,6
terraces,terrac.es,8,6
alliances,allianc.es,9,6
expresses,express.es,9,6
introduces,introduc.es,10,6
pleasures,pleasur.es,9,6
spectacles,spectacl.es,10,6
subsidiaries,subsidiari.es,12,6
survives,surviv.es,8,6
crises,cris.es,6,6
defines,defin.es,7,6
directives,directiv.es,10,6
fares,far.es,5,6
gestures,gestur.es,8,6
hypotheses,hypothes.es,10,6
poses,pos.es,5,6
redundancies,redundanci.es,12,6
relies,reli.es,6,6
shortages,shortag.es,9,6
slices,slic.es,6,6
stables,stabl.es,7,6
stripes,strip.es,7,6
treasures,treasur.es,9,6
verses,vers.es,6,6
victories,victori.es,9,6
yourselves,yourselv.es,10,6
benches,bench.es,7,6
echoes,echo.es,6,6
entities,entiti.es,8,6
excuses,excus.es,7,6
extremes,extrem.es,8,6
finishes,finish.es,8,6
focuses,focus.es,7,6
fumes,fum.es,5,6
graves,grav.es,6,6
brakes,brak.es,6,6
identifies,identifi.es,10,6
incorporates,incorporat.es,12,6
inmates,inmat.es,7,6
manages,manag.es,7,6
medicines,medicin.es,9,6
ministries,ministri.es,10,6
mortgages,mortgag.es,9,6
piles,pil.es,5,6
cables,cabl.es,6,6
profiles,profil.es,8,6
recognises,recognis.es,10,6
residues,residu.es,8,6
ropes,rop.es,5,6
routines,routin.es,8,6
schedules,schedul.es,9,6
sketches,sketch.es,8,6
skies,ski.es,5,6
temples,templ.es,7,6
theatres,theatr.es,8,6
tribes,trib.es,6,6
castles,castl.es,7,6
chooses,choos.es,7,6
closures,closur.es,8,6
combines,combin.es,8,6
commodities,commoditi.es,11,6
compares,compar.es,8,6
complexes,complex.es,9,6
concentrates,concentrat.es,12,6
grievances,grievanc.es,10,5
replaces,replac.es,8,5
accessories,accessori.es,11,5
acknowledges,acknowledg.es,12,5
adjectives,adjectiv.es,10,5
humanities,humaniti.es,10,5
adventures,adventur.es,10,5
lenses,lens.es,6,5
pesticides,pesticid.es,10,5
surprises,surpris.es,9,5
tunes,tun.es,5,5
utilities,utiliti.es,9,5
deliveries,deliveri.es,10,5
eagles,eagl.es,6,5
fantasies,fantasi.es,9,5
grapes,grap.es,6,5
marshes,marsh.es,7,5
amenities,ameniti.es,9,5
rides,rid.es,5,5
satellites,satellit.es,10,5
utterances,utteranc.es,10,5
vines,vin.es,5,5
ankles,ankl.es,6,5
antiques,antiqu.es,8,5
anxieties,anxieti.es,9,5
apologies,apologi.es,9,5
costumes,costum.es,8,5
appliances,applianc.es,10,5
emphasises,emphasis.es,10,5
fixtures,fixtur.es,8,5
arches,arch.es,6,5
institutes,institut.es,10,5
localities,localiti.es,10,5
miracles,miracl.es,8,5
mysteries,mysteri.es,9,5
ashes,ash.es,5,5
nineties,nineti.es,8,5
nodes,nod.es,5,5
assemblies,assembli.es,10,5
phones,phon.es,6,5
assurances,assuranc.es,10,5
probes,prob.es,6,5
athletes,athlet.es,8,5
telephones,telephon.es,10,5
textiles,textil.es,8,5
vacancies,vacanci.es,9,5
bates,bat.es,5,5
beneficiaries,beneficiari.es,13,5
bikes,bik.es,5,5
contributes,contribut.es,11,5
blades,blad.es,6,5
diaries,diari.es,7,5
doubles,doubl.es,7,5
enzymes,enzym.es,7,5
forties,forti.es,7,5
generates,generat.es,9,5
glances,glanc.es,7,5
ignores,ignor.es,7,5
illnesses,illness.es,9,5
interfaces,interfac.es,10,5
kisses,kiss.es,6,5
leases,leas.es,6,5
liberties,liberti.es,9,5
monopolies,monopoli.es,10,5
bubbles,bubbl.es,7,5
pies,pi.es,4,5
butterflies,butterfli.es,11,5
possesses,possess.es,9,5
questionnaires,questionnair.es,14,5
resembles,resembl.es,9,5
sausages,sausag.es,8,5
shores,shor.es,6,5
snakes,snak.es,6,5
spheres,spher.es,7,5
spines,spin.es,6,5
statues,statu.es,7,5
teaches,teach.es,7,5
theses,thes.es,6,5
venues,venu.es,6,5
viruses,virus.es,7,5
caves,cav.es,5,5
cites,cit.es,5,5
closes,clos.es,6,5
complexities,complexiti.es,12,5
locomotives,locomotiv.es,11,4
abnormalities,abnormaliti.es,13,4
parasites,parasit.es,9,4
abuses,abus.es,6,4
pitches,pitch.es,7,4
corpses,corps.es,7,4
prostitutes,prostitut.es,11,4
recognizes,recogniz.es,10,4
dictionaries,dictionari.es,12,4
dunes,dun.es,5,4
hercules,hercul.es,8,4
ideologies,ideologi.es,10,4
launches,launch.es,8,4
marches,march.es,7,4
nobles,nobl.es,6,4
noses,nos.es,5,4
probabilities,probabiliti.es,13,4
syllables,syllabl.es,9,4
tees,te.es,4,4
cues,cu.es,4,4
declares,declar.es,8,4
discharges,discharg.es,10,4
elves,elv.es,5,4
envelopes,envelop.es,9,4
escapes,escap.es,7,4
excesses,excess.es,8,4
excludes,exclud.es,8,4
halves,halv.es,6,4
hormones,hormon.es,8,4
housewives,housewiv.es,10,4
loyalties,loyalti.es,9,4
membranes,membran.es,9,4
monies,moni.es,6,4
observes,observ.es,8,4
pastures,pastur.es,8,4
ponies,poni.es,6,4
promotes,promot.es,8,4
pulses,puls.es,6,4
queues,queu.es,6,4
ridges,ridg.es,6,4
signatures,signatur.es,10,4
auspices,auspic.es,8,4
stereotypes,stereotyp.es,11,4
tides,tid.es,5,4
uncertainties,uncertainti.es,13,4
urges,urg.es,5,4
valuables,valuabl.es,9,4
constables,constabl.es,10,4
bites,bit.es,5,4
coordinates,coordinat.es,11,4
dales,dal.es,5,4
decreases,decreas.es,9,4
deficiencies,deficienci.es,12,4
democracies,democraci.es,11,4
departures,departur.es,10,4
disciples,discipl.es,9,4
discourses,discours.es,10,4
discusses,discuss.es,9,4
distinguishes,distinguish.es,13,4
dominates,dominat.es,9,4
elites,elit.es,6,4
bonuses,bonus.es,7,4
explosives,explosiv.es,10,4
faculties,faculti.es,9,4
foxes,fox.es,5,4
galaxies,galaxi.es,8,4
hates,hat.es,5,4
headaches,headach.es,9,4
identities,identiti.es,10,4
imposes,impos.es,7,4
improves,improv.es,8,4
impulses,impuls.es,8,4
indices,indic.es,7,4
breaches,breach.es,8,4
litres,litr.es,6,4
brochures,brochur.es,9,4
lunches,lunch.es,7,4
marines,marin.es,7,4
bruises,bruis.es,7,4
brushes,brush.es,7,4
misses,miss.es,6,4
natives,nativ.es,7,4
occupies,occupi.es,8,4
oranges,orang.es,7,4
paces,pac.es,5,4
pebbles,pebbl.es,7,4
percentages,percentag.es,11,4
prejudices,prejudic.es,10,4
prepares,prepar.es,8,4
rallies,ralli.es,7,4
rees,re.es,4,4
rites,rit.es,5,4
calves,calv.es,6,4
capacities,capaciti.es,10,4
strides,strid.es,7,4
substitutes,substitut.es,11,4
sykes,syk.es,5,4
tongues,tongu.es,7,4
trenches,trench.es,8,4
carriages,carriag.es,9,4
valves,valv.es,6,4
warehouses,warehous.es,10,4
warranties,warranti.es,10,4
ceremonies,ceremoni.es,10,4
cheeses,chees.es,7,4
chromosomes,chromosom.es,11,4
clones,clon.es,6,4
comrades,comrad.es,8,4
confines,confin.es,8,3
removes,remov.es,7,3
derivatives,derivativ.es,11,3
invoices,invoic.es,8,3
achieves,achiev.es,8,3
missionaries,missionari.es,12,3
acquaintances,acquaintanc.es,13,3
doctrines,doctrin.es,9,3
entrances,entranc.es,9,3
fringes,fring.es,7,3
garages,garag.es,7,3
advises,advis.es,7,3
separates,separat.es,9,3
specifies,specifi.es,9,3
undergraduates,undergraduat.es,14,3
densities,densiti.es,9,3
faeces,faec.es,6,3
ferries,ferri.es,7,3
groves,grov.es,6,3
gypsies,gypsi.es,7,3
hinges,hing.es,6,3
hurdles,hurdl.es,7,3
intermediaries,intermediari.es,14,3
knuckles,knuckl.es,8,3
occurrences,occurrenc.es,11,3
palaces,palac.es,7,3
quarries,quarri.es,8,3
referees,refere.es,8,3
anecdotes,anecdot.es,9,3
announces,announc.es,9,3
anomalies,anomali.es,9,3
apes,ap.es,4,3
decrees,decre.es,7,3
apprentices,apprentic.es,11,3
discrepancies,discrepanci.es,13,3
dues,du.es,4,3
emergencies,emergenci.es,11,3
enhances,enhanc.es,8,3
explores,explor.es,8,3
grasses,grass.es,7,3
hides,hid.es,5,3
juices,juic.es,6,3
nomes,nom.es,5,3
assemblages,assemblag.es,11,3
pennies,penni.es,7,3
peptides,peptid.es,8,3
pledges,pledg.es,7,3
progresses,progress.es,10,3
pushes,push.es,6,3
realises,realis.es,8,3
robes,rob.es,5,3
roubles,roubl.es,7,3
royalties,royalti.es,9,3
satisfies,satisfi.es,9,3
specialises,specialis.es,11,3
spies,spi.es,5,3
strictures,strictur.es,10,3
sympathies,sympathi.es,10,3
triangles,triangl.es,9,3
avenues,avenu.es,7,3
averages,averag.es,8,3
wares,war.es,5,3
welcomes,welcom.es,8,3
badges,badg.es,6,3
beetles,beetl.es,7,3
berries,berri.es,7,3
bicycles,bicycl.es,8,3
declines,declin.es,8,3
detainees,detaine.es,9,3
blokes,blok.es,6,3
directories,directori.es,11,3
ditches,ditch.es,7,3
divides,divid.es,7,3
emphasizes,emphasiz.es,10,3
equities,equiti.es,8,3
establishes,establish.es,11,3
evokes,evok.es,6,3
exiles,exil.es,6,3
flashes,flash.es,7,3
granules,granul.es,8,3
hierarchies,hierarchi.es,11,3
hobbies,hobbi.es,7,3
hostilities,hostiliti.es,11,3
indexes,index.es,7,3
inferences,inferenc.es,10,3
invites,invit.es,7,3
breweries,breweri.es,9,3
irregularities,irregulariti.es,14,3
lashes,lash.es,6,3
lymphocytes,lymphocyt.es,11,3
mainframes,mainfram.es,10,3
manoeuvres,manoeuvr.es,10,3
manufactures,manufactur.es,12,3
brownies,browni.es,8,3
mixtures,mixtur.es,8,3
moles,mol.es,5,3
monasteries,monasteri.es,11,3
nationalities,nationaliti.es,13,3
nightmares,nightmar.es,10,3
nipples,nippl.es,7,3
nurseries,nurseri.es,9,3
bundles,bundl.es,7,3
pauses,paus.es,6,3
pirates,pirat.es,7,3
pores,por.es,5,3
presses,press.es,7,3
puzzles,puzzl.es,7,3
cages,cag.es,5,3
reinforces,reinforc.es,10,3
reptiles,reptil.es,8,3
riches,rich.es,6,3
rifles,rifl.es,6,3
rushes,rush.es,6,3
sacrifices,sacrific.es,10,3
scriptures,scriptur.es,10,3
shakes,shak.es,6,3
spices,spic.es,6,3
spikes,spik.es,6,3
strawberries,strawberri.es,12,3
suites,suit.es,6,3
textures,textur.es,8,3
trophies,trophi.es,8,3
vases,vas.es,5,3
cassettes,cassett.es,9,3
witches,witch.es,7,3
ceases,ceas.es,6,3
celebrates,celebrat.es,10,3
celebrities,celebriti.es,11,3
chocolates,chocolat.es,10,3
chores,chor.es,6,3
coincides,coincid.es,9,3
collapses,collaps.es,9,3
compromises,compromis.es,11,3
cones,con.es,5,3
conglomerates,conglomerat.es,13,2
grenades,grenad.es,8,2
eigenvalues,eigenvalu.es,11,2
aborigines,aborigin.es,10,2
absences,absenc.es,8,2
estuaries,estuari.es,9,2
grimes,grim.es,6,2
kites,kit.es,5,2
accompanies,accompani.es,11,2
debentures,debentur.es,10,2
disparities,dispariti.es,11,2
groceries,groceri.es,9,2
mercenaries,mercenari.es,11,2
originates,originat.es,10,2
presupposes,presuppos.es,11,2
acquires,acquir.es,8,2
actresses,actress.es,9,2
actuaries,actuari.es,9,2
additives,additiv.es,9,2
crates,crat.es,6,2
cruises,cruis.es,7,2
diagnoses,diagnos.es,9,2
fishes,fish.es,6,2
goodies,goodi.es,7,2
grooves,groov.es,7,2
insides,insid.es,7,2
marbles,marbl.es,7,2
matrices,matric.es,8,2
ounces,ounc.es,6,2
ravages,ravag.es,7,2
aeroplanes,aeroplan.es,10,2
shines,shin.es,6,2
slates,slat.es,6,2
spouses,spous.es,7,2
submarines,submarin.es,10,2
affinities,affiniti.es,10,2
aggregates,aggregat.es,10,2
aides,aid.es,5,2
aisles,aisl.es,6,2
correlates,correlat.es,10,2
dialogues,dialogu.es,9,2
alleges,alleg.es,7,2
electrodes,electrod.es,10,2
flakes,flak.es,6,2
franchises,franchis.es,10,2
glories,glori.es,7,2
headphones,headphon.es,10,2
inadequacies,inadequaci.es,12,2
isolates,isolat.es,8,2
levies,levi.es,6,2
magnates,magnat.es,8,2
ambiguities,ambiguiti.es,11,2
olives,oliv.es,6,2
opposes,oppos.es,7,2
oxides,oxid.es,6,2
phonemes,phonem.es,8,2
puddles,puddl.es,7,2
retires,retir.es,7,2
scares,scar.es,6,2
sidelines,sidelin.es,9,2
silences,silenc.es,8,2
spires,spir.es,6,2
summaries,summari.es,9,2
underlies,underli.es,9,2
analogies,analogi.es,9,2
whiskies,whiski.es,8,2
wrinkles,wrinkl.es,8,2
antiquities,antiquiti.es,11,2
apostles,apostl.es,8,2
contraceptives,contraceptiv.es,14,2
controversies,controversi.es,13,2
cranes,cran.es,6,2
appetites,appetit.es,9,2
dictates,dictat.es,8,2
disclosures,disclosur.es,11,2
dives,div.es,5,2
dries,dri.es,5,2
dyes,dy.es,4,2
eaves,eav.es,5,2
embassies,embassi.es,9,2
encompasses,encompass.es,11,2
eyelashes,eyelash.es,9,2
festivities,festiviti.es,11,2
fives,fiv.es,5,2
formalities,formaliti.es,11,2
gales,gal.es,5,2
architectures,architectur.es,13,2
glimpses,glimps.es,8,2
hippies,hippi.es,7,2
hooves,hoov.es,6,2
hurricanes,hurrican.es,10,2
imbalances,imbalanc.es,10,2
induces,induc.es,7,2
investigates,investigat.es,12,2
justifies,justifi.es,9,2
lavatories,lavatori.es,10,2
arteries,arteri.es,8,2
linkages,linkag.es,8,2
luxuries,luxuri.es,8,2
mares,mar.es,5,2
masterpieces,masterpiec.es,12,2
measles,measl.es,7,2
microphones,microphon.es,11,2
narratives,narrativ.es,10,2
